Category,Command,Method,APIURIDomain,APIURIPath
entity,createUniqueAttributeClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications
entity,delete,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}
entity,deleteBulk,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/bulk?guid={guid}&guid={guid}&guid={guid}&guid={guid}&guid={guid}&guid={guid}
entity,deleteClassification,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classification/{classificationName}
entity,deleteUniqueAttribute,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}
entity,deleteUniqueAttributeClassification,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classification/{classificationName}
entity,put,PUT,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}
entity,putClassifications,PUT,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications
entity,putUniqueAttribute,PUT,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}
entity,putUniqueAttributeClassifications,PUT,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications
entity,read,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}?ignoreRelationships={ignoreRelationships}&minExtInfo={minExtInfo}
entity,readBulk,GET,.catalog.purview.azure.com,/atlas/v2/entity/bulk?guid={guid}&ignoreRelationships={ignoreRelationships}&minExtInfo={minExtInfo}
entity,readBulkUniqueAttribute,GET,.catalog.purview.azure.com,/atlas/v2/entity/bulk/uniqueAttribute/type/{typeName}?ignoreRelationships={ignoreRelationships}&minExtInfo={minExtInfo}&guid={guid}&guid={guid}
entity,readClassification,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classification/{classificationName}
entity,readClassifications,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications
entity,readHeader,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/header
entity,readUniqueAttribute,GET,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}?qualifiedName={qualifiedName}&ignoreRelationships={ignoreRelationships}&minExtInfo={minExtInfo}
search,search,POST,.catalog.purview.azure.com,/atlas/v2/search/query?keywords={keywords}&limit={limit}&offset={offset}&filterJSON={filterJSON}&facetsJSON={facetsJSON}
search,searchAdvanced,POST,.catalog.purview.azure.com,/atlas/v2/search/advanced?keywords={keywords}&limit={limit}&offset={offset}&filterJSON={filterJSON}&facetsJSON={facetsJSON}
search,searchSuggest,POST,.catalog.purview.azure.com,/atlas/v2/search/search?keywords={keywords}&limit={limit}&offset={offset}&filterJSON={filterJSON}&facetsJSON={facetsJSON}
search,searchAutocomplete,GET,.catalog.purview.azure.com,/atlas/v2/search/autocomplete?keyword={keyword}&limit={limit}
glossary,create,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary
glossary,createCategories,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/categories
glossary,createCategory,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/category
glossary,createTerm,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/term
glossary,createTerms,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms
glossary,createTermsAssignedEntities,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities
glossary,createTermsExport,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/export?termGuid={termGuid}
glossary,createTermsImport,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/import
glossary,delete,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}
glossary,deleteCategory,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}
glossary,deleteTerm,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid}
glossary,deleteTermsAssignedEntities,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities
glossary,update,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}
glossary,putCategory,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}
glossary,putCategoryPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/partial
glossary,putPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/partial
glossary,putTerm,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid}
glossary,putTermPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid}/partial
glossary,putTermsAssignedEntities,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities
glossary,read,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary?glossaryGuid={glossaryGuid}&limit={limit}&offset={offset}&sort={sort}
glossary,readCategories,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/categories?limit={limit}&offset={offset}&sort={sort}
glossary,readCategoriesHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/categories/headers?limit={limit}&offset={offset}&sort={sort}
glossary,readCategory,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}?limit={limit}&offset={offset}&sort={sort}
glossary,readCategoryRelated,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/related
glossary,readCategoryTerms,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/terms?limit={limit}&offset={offset}&sort={sort}
glossary,readDetailed,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/detailed
glossary,readTerm,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid}
glossary,readTerms,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms?limit={limit}&offset={offset}&sort={sort}&extInfo={extInfo}&includeTermHierarchy={includeTermHierarchy}
glossary,readTermsAssignedEntities,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities?limit={limit}&offset={offset}&sort={sort}
glossary,readTermsHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/headers?limit={limit}&offset={offset}&sort={sort}
glossary,readTermsImport,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/import/{operationGuid}
glossary,readTermsRelated,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/related?limit={limit}&offset={offset}&sort={sort}
insight,fileExtensions,POST,.guardian.purview.azure.com,/reports/fileExtensions?numberOfDays={numberOfDays}&takeTopCount={takeTopCount}
insight,graphql,POST,.guardian.purview.azure.com,/graphql
insight,assetDataSources,POST,.purview.azure.com,/mapanddiscover/reports/asset2/dataSources
insight,assetDistribution,GET,.purview.azure.com,/mapanddiscover/reports/asset2/assetDistribution/getSnapshot
insight,fileTypeSizeTimeSeries,POST,.purview.azure.com,/mapanddiscover/reports/asset2/fileTypeSizeTimeSeries
insight,filesWithoutResourceSet,GET,.purview.azure.com,/mapanddiscover/reports/asset2/filesWithoutResourceSet/getSnapshot
insight,scanStatusSummaries,GET,.purview.azure.com,/mapanddiscover/reports/scanstatus2/summaries?numberOfDays={numberOfDays}
insight,scanStatusSummariesByTs,GET,.purview.azure.com,/mapanddiscover/reports/scanstatus2/summariesbyts?numberOfDays={numberOfDays}
insight,topFileTypesBySize,POST,.purview.azure.com,/mapanddiscover/reports/asset2/topFileTypesBySize
lineage,read,GET,.catalog.purview.azure.com,/api/atlas/v2/lineage/{guid}?depth={depth}&width={width}&direction={direction}
lineage,readNext,GET,.catalog.purview.azure.com,/api/atlas/v2/lineage/{guid}/next/?direction={direction}&offset={offset}&limit={limit}
relationship,create,POST,.catalog.purview.azure.com,/api/atlas/v2/relationship
relationship,delete,DELETE,.catalog.purview.azure.com,/api/atlas/v2/relationship/guid/{guid}
relationship,update,PUT,.catalog.purview.azure.com,/api/atlas/v2/relationship
relationship,read,GET,.catalog.purview.azure.com,/api/atlas/v2/relationship/guid/{guid}?{extendedInfo}
scan,cancelScan,POST,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/runs/{runId}/:cancel
scan,deleteClassificationRule,DELETE,.scan.purview.azure.com,/classificationrules/{classificationRuleName}
scan,deleteDataSource,DELETE,.scan.purview.azure.com,/datasources/{dataSourceName}
scan,deleteKeyVault,DELETE,.scan.purview.azure.com,/azureKeyVaults/{keyVaultName}
scan,deleteScan,DELETE,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}
scan,deleteScanRuleset,DELETE,.scan.purview.azure.com,/scanrulesets/{scanRulesetName}
scan,deleteTrigger,DELETE,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/triggers/default
scan,putClassificationRule,PUT,.scan.purview.azure.com,/classificationrules/{classificationRuleName}
scan,putDataSource,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}
scan,putFilter,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/filters/custom
scan,putKeyVault,PUT,.scan.purview.azure.com,/azureKeyVaults/{keyVaultName}
scan,putScan,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}
scan,putScanRuleset,PUT,.scan.purview.azure.com,/scanrulesets/{scanRulesetName}
scan,putTrigger,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/triggers/default
scan,readClassificationRule,GET,.scan.purview.azure.com,/classificationrules/{classificationRuleName}
scan,readClassificationRuleVersions,GET,.scan.purview.azure.com,/classificationrules/{classificationRuleName}/versions
scan,readClassificationRules,GET,.scan.purview.azure.com,/classificationrules
scan,readDatasource,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans
scan,readDatasources,GET,.scan.purview.azure.com,/datasources/scans
scan,readFilters,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/filters/custom
scan,readKeyVault,GET,.scan.purview.azure.com,/azureKeyVaults/{keyVaultName}
scan,readKeyVaults,GET,.scan.purview.azure.com,/azureKeyVaults
scan,readScan,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}
scan,readScanHistory,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/runs
scan,readScanRuleset,GET,.scan.purview.azure.com,/scanrulesets/{scanRulesetName}
scan,readScanRulesets,GET,.scan.purview.azure.com,/scanrulesets
scan,readScans,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans
scan,readSystemScanRuleset,GET,.scan.purview.azure.com,/systemScanRulesets/datasources/{dataSourceType}
scan,readSystemScanRulesetLatest,GET,.scan.purview.azure.com,/systemScanRulesets/versions/latest?dataSourceType={dataSourceType}
scan,readSystemScanRulesetVersion,GET,.scan.purview.azure.com,/systemScanRulesets/versions/{version}?dataSourceType={dataSourceType}
scan,readSystemScanRulesetVersions,GET,.scan.purview.azure.com,/systemScanRulesets/versions?dataSourceType={dataSourceType}
scan,readSystemScanRulesets,GET,.scan.purview.azure.com,/systemScanRulesets
scan,readTrigger,GET,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/triggers/default
scan,createTrigger,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/triggers/default
scan,deleteTrigger,DELETE,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/triggers/default
scan,runScan,PUT,.scan.purview.azure.com,/datasources/{dataSourceName}/scans/{scanName}/runs/{uuid}
types,createTypeDefs,POST,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs
types,deleteTypeDef,DELETE,.catalog.purview.azure.com,/api/atlas/v2/types/typedef/name/{name}
types,deleteTypeDefs,DELETE,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs
types,putTypeDefs,PUT,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs
types,readClassificationDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/classificationdef/{typeDefKey}/{typeDefVal}
types,readEntityDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/entitydef/{typeDefKey}/{typeDefVal}
types,readEnumDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/enumdef/{typeDefKey}/{typeDefVal}
types,readRelationshipDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/relationshipdef/{typeDefKey}/{typeDefVal}
types,readStatistics,GET,.catalog.purview.azure.com,/api/atlas/v2/types/statistics
types,readStructDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/structdef/{typeDefKey}/{typeDefVal}
types,readTermTemplateDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/termtemplatedef/{typeDefKey}/{typeDefVal}
types,readTypeDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedef/{typeDefKey}/{typeDefVal}
types,readTypeDefs,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs?includeTermTemplate={includeTermTemplate}&type={type}
types,readTypeDefsHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs/headers?includeTermTemplate={includeTermTemplate}&type={type}
metadatapolicy,readMetadataRoles,GET,.purview.azure.com,/policystore/metadataroles
metadatapolicy,readMetadataPolicyByCollection,GET,.purview.azure.com,/policystore/collections/{collectionName}/metadataPolicy
metadatapolicy,readMetadataPolicyByPolicyID,GET,.purview.azure.com,/policystore/metadataPolicies/{policyId}
metadatapolicy,readAllMetadataPolicies,GET,.purview.azure.com,/policystore/metadataPolicies
metadatapolicy,putMetadataPolicy,PUT,.purview.azure.com,/policystore/metadataPolicies/{policyId}
collections,readAllCollections,GET,.purview.azure.com,/account/collections
collections,createOrUpdateCollection,PUT,.purview.azure.com,/account/collections
collections,deleteCollection,DELETE,.purview.azure.com,/account/collections
